index,time,S:Madeira__all,I:Madeira__all,R:Madeira__all,obs_mean:Madeira__ecdc__inc,obs_real:Madeira__ecdc__inc
400,42,10190.2,1339.09,255773,310.58,319.766
400,49,9086.64,1244.87,256970,284.967,275.048
400,56,8190.35,1185.92,257926,267.935,287.93
400,63,7590.35,962.21,258749,205.545,213.426
400,70,7222.85,642.673,259436,127.615,105.635
400,77,7142.33,397.854,259762,76.8716,78.3882
400,84,7293.15,278.037,259731,55.4608,61.8201
400,91,7511.88,171.172,259619,33.4503,24.6095
400,98,7814.66,92.958,259394,17.9822,21.2825
400,105,8196.67,56.4571,259049,11.4492,12.3862
400,112,8611.71,46.9843,258643,10.1019,8.00918
400,119,9031.22,32.361,258238,6.89295,6.55934
450,0,11997.9,0.170458,255304,0,0
450,7,12438.8,16.1804,254847,5.2233,4.94002
450,14,12516.2,270.248,254516,87.0038,92.8928
450,21,12309.9,481.07,254511,148.818,158.835
450,28,11794.4,713.072,254794,217.232,207.507
450,35,10664.3,1107.04,255531,337.434,348.176
450,42,9922.82,1024.11,256355,289.16,274.394
450,49,9145.99,996.426,257160,281.459,270.739
450,56,8361.73,1003.59,257937,280.923,362.229
450,63,7813.68,843.802,258645,224.251,231.992
450,70,7502.56,579.048,259220,144.11,169.554
450,77,7445.76,361.287,259495,87.7078,90.1373
450,84,7587.27,249.773,259465,62.43,82.6808
450,91,7816.01,151.1,259335,37.058,33.0549
450,98,8136.1,78.6947,259087,19.1245,25.0472
450,105,8530.57,46.152,258725,11.7769,11.269
450,112,8950.12,39.1911,258313,10.5889,7.12327
450,119,9374.2,26.6654,257901,7.11356,7.68526
500,0,13688.8,44.9107,253568,0,0
500,7,14073.4,54.3949,253174,14.7254,11.2027
500,14,13836.7,405.624,253060,113.69,124.948
500,21,13360.3,656.644,253285,181.32,140.349
500,28,12574,907.554,253820,248.195,238.611
500,35,11113.3,1315.66,254873,359.832,291.756
500,42,10098,1182.36,256022,300.344,305.902
500,49,9125.53,1095.7,257081,276.7,257.713
500,56,8314.7,1062.78,257925,266.262,260.278
500,63,7763.71,866.959,258671,206.523,184.64
500,70,7432.9,576.176,259293,128.416,114.652
500,77,7378.03,353.909,259570,77.0542,73.4477
500,84,7541.23,248.409,259512,55.8072,60.1368
500,91,7771.1,151.702,259379,33.4269,34.7165
500,98,8084.3,80.5819,259137,17.5919,20.0586
500,105,8473.57,48.7002,258780,11.1313,5.02241
500,112,8891.69,41.7119,258369,10.0555,10.0053
500,119,9313.06,28.663,257960,6.83923,5.18103
550,0,15965.2,248.97,251088,0,0
550,7,16022.2,287.395,250992,70.6685,56.1749
550,14,15661.1,564.962,251076,144.537,140.098
550,21,15016,836.859,251449,211.907,189.964
550,28,14043,1115.65,252143,280.33,276.09
550,35,12280.7,1565.95,253455,392.882,425.738
550,42,10843.5,1408.88,255050,327.535,372.592
550,49,9603.31,1258.2,256440,288.237,288.051
550,56,8751.82,1188.38,257362,269.869,242.616
550,63,8144.39,951.641,258206,205.324,219.316
550,70,7747.1,621.997,258933,125.213,132.089
550,77,7659.69,378.564,259264,74.3427,82.6319
550,84,7822.09,264.988,259215,53.7224,48.0032
550,91,8041.43,162.047,259099,32.193,28.8523
550,98,8341.88,87.103,258873,17.1221,21.712
550,105,8724.15,53.1068,258525,10.9185,13.4292
550,112,9141.35,44.9344,258116,9.75179,7.45598
550,119,9559.81,30.9659,257711,6.65283,5.9538
600,0,17005.5,248.01,250048,0,0
600,7,17045.6,312.747,249944,64.8585,53.3525
600,14,16582.5,656.746,250063,142.407,131.914
600,21,15766.2,1008.17,250528,215.464,199.699
600,28,14553.3,1369.16,251380,289.162,276.896
600,35,12480.9,1894.19,252927,396.995,310.581
600,42,10728.1,1724.51,254849,329.3,309.897
600,49,9305.28,1514.54,256482,281.542,309.735
600,56,8463.9,1397.9,257440,256.855,232.26
600,63,7869.74,1115.91,258316,193.61,209.522
600,70,7462.41,739.583,259100,118.653,108.169
600,77,7361.06,459.59,259481,71.5604,78.0866
600,84,7513.83,321.644,259467,51.7471,55.4654
600,91,7723.74,200.257,259378,31.5146,27.5775
600,98,8013.63,112.054,259176,17.4286,15.1219
600,105,8385.75,69.2226,258847,11.2723,13.8766
600,112,8796.94,56.0231,258449,9.6964,8.97706
600,119,9212.66,38.7883,258051,6.66015,8.37492
650,0,14840.3,96.4274,252365,0,0
650,7,15152.9,111.345,252038,26.412,26.1747
650,14,14864.4,468.563,251969,117.616,101.672
650,21,14295.3,765.708,252241,188.204,203.734
650,28,13384.9,1068.94,252848,259.407,272.308
650,35,11751.2,1538.3,254012,371.934,298.862
650,42,10527,1429.48,255346,318.068,301.323
650,49,9365.29,1324.82,256612,290.14,289.296
650,56,8449.25,1257.12,257596,271.413,286.678
650,63,7818.45,1021.86,258462,208.113,223.612
650,70,7416.54,686.669,259199,129.58,119.397
650,77,7310.37,427.491,259564,78.3,93.9529
650,84,7447.28,297.705,259557,56.2684,48.9835
650,91,7655.06,183.867,259463,34.002,26.1478
650,98,7948.81,100.796,259252,18.4266,21.003
650,105,8325.3,61.1769,258916,11.7292,10.3365
650,112,8738.43,49.9889,258514,10.1946,16.781
650,119,9156.36,34.369,258111,6.94098,7.50707
700,0,15986.1,194.061,251122,0,0
700,7,16134,230.243,250938,53.457,59.9029
700,14,15778.8,552.042,250971,134.4,149.869
700,21,15105.6,864.21,251332,207.317,205.607
700,28,14080.5,1183.42,252038,280.953,281.257
700,35,12261.7,1672.3,253368,395.352,385.905
700,42,10772.6,1543.3,254986,336.049,348.612
700,49,9450.02,1388.39,256464,295.906,325.375
700,56,8535.63,1292.78,257474,271.813,274.581
700,63,7901.29,1033.9,258367,205.403,216.745
700,70,7487.12,682.103,259133,125.669,118.145
700,77,7384.3,419.487,259498,75.1221,71.1437
700,84,7535.74,292.346,259474,54.0923,49.2376
700,91,7747.83,180.123,259374,32.6205,41.4573
700,98,8041.84,98.6204,259162,17.6569,18.5648
700,105,8418.91,60.2272,258823,11.3003,11.1874
700,112,8833.58,49.6207,258419,9.88484,10.7587
700,119,9251.2,34.2139,258017,6.75027,10.2684
750,0,16040,137.734,251124,0,0
750,7,16267.8,166.323,250868,39.3813,47.2075
750,14,15914.5,520.766,250867,128.348,129.729
750,21,15214.4,855.105,251232,207.788,233.272
750,28,14143.9,1191.52,251967,286.706,249.674
750,35,12273.2,1688.47,253340,404.84,438.967
750,42,10727.4,1559.43,255015,345.602,317.938
750,49,9354.7,1389.2,256558,300.795,339.866
750,56,8427.79,1278.78,257595,273.059,311.164
750,63,7799.97,1012.74,258489,204.606,203.595
750,70,7396.19,660.873,259245,124.024,154.996
750,77,7306.2,403.137,259593,73.6552,57.6809
750,84,7469.8,281.164,259551,53.1171,56.4561
750,91,7688.7,172.683,259441,31.9555,31.11
750,98,7987.04,94.0295,259221,17.213,18.8772
750,105,8367.09,57.5403,258877,11.0358,9.17293
750,112,8783.51,47.9354,258471,9.74322,5.88843
750,119,9201.95,33.0978,258067,6.66406,7.19881
800,0,14746.9,177.504,252378,0,0
800,7,14946.5,196.033,252159,49.5657,41.8974
800,14,14675.7,487.758,252139,130.467,133.582
800,21,14138,754.363,252410,198.588,197.337
800,28,13294.9,1027.73,252979,267.832,304.615
800,35,11736.3,1471.96,254094,382.772,411.256
800,42,10530.7,1363.38,255408,327.758,342.544
800,49,9394.95,1259.41,256648,298.404,296.393
800,56,8500.27,1199.02,257603,280.415,226.998
800,63,7866.54,972.47,258463,215.006,165.506
800,70,7462.76,647.619,259192,133.016,133.476
800,77,7361.06,398.595,259542,79.6001,68.4318
800,84,7503.99,276.737,259521,57.0593,55.3136
800,91,7716.8,169.469,259416,34.2088,34.9113
800,98,8015.38,91.3707,259195,18.2372,25.7649
800,105,8396.41,55.1021,258850,11.5415,14.1014
800,112,8812.58,45.7737,258444,10.184,12.826
800,119,9231.93,31.413,258039,6.91205,6.69489
850,0,14197,202.733,252902,0,0
850,7,14361.1,209.544,252731,59.8374,58.8761
850,14,14118.5,456.181,252727,136.068,127.733
850,21,13641.7,676.248,252984,199.722,218.821
850,28,12893.2,899.427,253509,263.954,251.454
850,35,11458.7,1288.82,254555,378.83,446.233
850,42,10385.3,1153.09,255764,316.721,262.846
850,49,9391.91,1057.99,256852,288.947,230.537
850,56,8589.47,1027.18,257685,278.625,362.523
850,63,8012.78,833.051,258456,215.472,183.895
850,70,7657.42,545.176,259099,132.341,132.204
850,77,7596.11,328.974,259377,78.1521,99.8629
850,84,7763.57,230.028,259308,56.3802,67.6045
850,91,7994.89,138.913,259168,33.4175,41.9464
850,98,8309.52,72.2758,258920,17.2316,17.2725
850,105,8701.77,43.5203,258557,10.8577,13.7577
850,112,9122.69,38.1183,258141,9.99743,9.16624
850,119,9544.26,26.1194,257732,6.77491,3.62803
900,0,16850.9,122.091,250329,0,0
900,7,17127,157.432,250018,28.0043,24.4553
900,14,16776.8,571.478,249954,110.702,96.0084
900,21,16086.4,966.874,250249,180.585,177.856
900,28,14970,1400.95,250931,255.794,215.796
900,35,13035.6,2035.53,252231,366.857,349.531
900,42,11498,2019.47,253785,327.186,345.528
900,49,9998.23,1934.27,255369,302.554,280.177
900,56,8817.7,1813.54,256671,274.582,234.017
900,63,7998.11,1494.07,257810,208.934,226.783
900,70,7441.02,1051.45,258810,133.105,140.062
900,77,7207.75,687.979,259406,83.0069,72.3755
900,84,7257.73,478.517,259566,59.117,57.831
900,91,7400.62,305.833,259596,36.7446,49.736
900,98,7641.35,180.365,259480,21.3463,16.827
900,105,7978.83,112.201,259211,13.9036,12.2564
900,112,8370.71,83.7484,258848,11.1559,15.8939
900,119,8775.34,57.2986,258469,7.6083,5.33201
950,0,17506,103.223,249693,0,0
950,7,17786.3,133.558,249382,26.0381,18.1501
950,14,17361.8,562.612,249378,115.435,119.776
950,21,16559,953.764,249789,191.277,214.091
950,28,15318.3,1355.81,250628,267.707,243.461
950,35,13225.8,1928.06,252148,377.633,385.822
950,42,11585.4,1804.41,253912,322.477,319.295
950,49,10100.1,1639.59,255562,285.488,320.475
950,56,9061.93,1513.96,256726,259.011,279.374
950,63,8365.1,1216.39,257721,195.575,188.809
950,70,7895.5,817.49,258589,121.104,146.964
950,77,7745.11,513.258,259044,73.5125,73.5427
950,84,7867.2,357.607,259077,52.7736,59.9734
950,91,8054.45,223.474,259024,32.2118,31.0594
950,98,8326.68,126.363,258849,17.9784,27.6976
950,105,8687.99,78.0447,258536,11.6088,16.3389
950,112,9094.71,61.8569,258145,9.79012,12.7387
950,119,9506.33,42.715,257753,6.70971,7.19034
1000,0,14381.3,153.373,252767,0,0
1000,7,14590.3,171.78,252540,43.8208,56.4065
1000,14,14245.8,494.933,252561,130.052,123.909
1000,21,13590.9,779.428,252932,203.075,198.538
1000,28,12601.4,1052.83,253648,272.395,251.246
1000,35,10873.4,1467.39,254961,379.544,383.716
1000,42,9542.64,1270.78,256489,304.808,318.691
1000,49,8469.23,1115.67,257717,264.856,219.937
1000,56,7802.27,1063.84,258436,251.686,245.816
1000,63,7334.14,851.507,259116,192.339,181.953
1000,70,7039.28,552.951,259710,117.085,117.112
1000,77,7020,336.468,259946,69.7903,65.2201
1000,84,7213.73,239.383,259849,51.2927,55.2461
1000,91,7458.56,146.802,259697,30.8953,23.2841
1000,98,7779.67,78.5417,259444,16.4037,16.4136
1000,105,8171.96,48.3805,259082,10.5547,13.2757
1000,112,8590.47,42.1125,258669,9.64453,5.5962
1000,119,9012.34,29.1666,258260,6.62897,10.5644
1050,0,17009.1,139.164,250154,0,0
1050,7,17239.7,178.078,249884,33.2629,32.5389
1050,14,16806.6,596.197,249899,118.176,100.947
1050,21,15993.7,993.106,250315,192.029,206.254
1050,28,14746.5,1403.28,251152,266.647,280.994
1050,35,12656.6,1981.21,252664,372.472,363.821
1050,42,11006.4,1855.48,254440,315.593,290.415
1050,49,9555.56,1682.52,256064,277.938,237.602
1050,56,8589.71,1554.23,257158,252.201,280.249
1050,63,7937.93,1255.63,258108,190.974,169.036
1050,70,7493.28,852.966,258956,119.069,141.251
1050,77,7353.53,542.194,259406,73.0262,68.5435
1050,84,7474.34,379.289,259448,52.6549,50.5641
1050,91,7662.72,239.313,259400,32.4313,32.4584
1050,98,7935.96,137.434,259229,18.387,15.9172
1050,105,8295.51,85.4184,258921,11.9611,14.2655
1050,112,8699.28,66.8516,258536,9.98948,13.8003
1050,119,9110.65,46.2359,258145,6.86715,6.88519
1100,0,13971.1,159.872,253171,0,0
1100,7,14196.1,166.226,252940,43.7297,43.5374
1100,14,13907,461.681,252933,126.78,130.42
1100,21,13364.6,704.913,253232,191.388,156.843
1100,28,12526.3,943.308,253832,254.103,236.372
1100,35,10995.7,1338.06,254968,360.61,331.73
